time filename action file_descriptor_flags file_status_flags file_owner file_group file_permission atime mtime ctime
2022-12-15 20:51:33 /home/dwoo/Desktop/bob-project/file_log/test.txt  write: HI 33188 dwoo(uid:1000) dwoo(gid:1000) rw-r--r-- 1671101632 1671105093 1671105093 
2022-12-15 20:52:5 /home/dwoo/Desktop/bob-project/file_log/test.txt  write: HI 33188 dwoo(uid:1000) dwoo(gid:1000) rw-r--r-- 1671101632 1671105125 1671105125 
2022-12-15 20:52:7 /home/dwoo/Desktop/bob-project/file_log/test.txt  write: HI 33188 dwoo(uid:1000) dwoo(gid:1000) rw-r--r-- 1671101632 1671105127 1671105127 
2022-12-15 20:53:49 /home/dwoo/Desktop/bob-project/file_log/test.txt  write: HI 33188 dwoo(uid:1000) dwoo(gid:1000) rw-r--r-- 1671101632 1671105229 1671105229 
2022-12-15 20:54:1 /home/dwoo/Desktop/bob-project/file_log/test2.txt  write: HI 33188 dwoo(uid:1000) dwoo(gid:1000) rw-r--r-- 1671105241 1671105241 1671105241 
2022-12-15 21:1:4 /home/dwoo/Desktop/bob-project/file_log/test3.txt  write: HI 33188 root(uid:0) root(gid:0) rw-r--r-- 1671105257 1671105664 1671105664 
2022-12-15 21:3:53 SESSION_MANAGER=local/dwoo-virtual-machine:@/tmp/.ICE-unix/5302,unix/dwoo-virtual-machine:/tmp/.ICE-unix/5302 open: w 33152 dwoo(uid:1000) dwoo(gid:1000) rw------- 1671105833 1671105833 1671105833 
2022-12-15 21:3:57 SESSION_MANAGER=local/dwoo-virtual-machine:@/tmp/.ICE-unix/5302,unix/dwoo-virtual-machine:/tmp/.ICE-unix/5302 open: r 33152 dwoo(uid:1000) dwoo(gid:1000) rw------- 1671105833 1671105837 1671105837 
2022-12-15 21:3:57 /../../../x86_64-linux-gnu/libm.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101137 1657149803 1664094777 
2022-12-15 21:3:57 /../../../x86_64-linux-gnu/libm.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101137 1657149803 1664094777 
